,actor_1_name,profit_millions,VAR
186,Robert Pattinson,141.187125,13.332173807541745
35,Bryce Dallas Howard,128.62994999999998,12.146411014852834
203,Steve Carell,97.38197777777776,9.195692974522293
106,Jennifer Lawrence,84.69330000000001,7.997512492263549
31,Bradley Cooper,80.65503076923079,7.616182344303789
94,Jada Pinkett Smith,68.66735,6.484196381952685
204,Steve Coogan,67.13564999999998,6.339559322298614
46,Chris Hemsworth,66.27551333333332,6.258337386954016
164,Muse Watson,63.440174999999996,5.990598926643378
53,Colm Feore,58.11680000000001,5.4879173914628705
166,Natalie Portman,56.47375,5.332765651001538
13,Amy Poehler,51.137862500000004,4.828902571648592
136,Leonardo DiCaprio,46.122255,4.3552832459458415
212,Tom Hanks,44.20960000000001,4.174672946714494
37,Cary-Hiroyuki Tagawa,44.1081,4.165088392588432
12,Alyson Hannigan,42.30688571428571,3.9950013402331264
57,Daniel Radcliffe,42.07856666666667,3.9734413769827275
97,Jamie Lee Curtis,38.67182,3.651745339342868
168,Nia Long,38.4643,3.632149411537546
74,Ethan Embry,37.92613333333333,3.581330815030071
224,Will Smith,37.7617,3.565803522582169
170,Noel Fisher,37.6468,3.5549536184532586
51,Clint Eastwood,37.433859999999996,3.5348458849005144
80,Gary Cole,37.34584285714286,3.5265345049031205
140,Lin Shaye,36.85268333333334,3.4799658926003127
90,Holly Hunter,35.673779999999994,3.368643106317282
103,Jennifer Ehle,34.852579999999996,3.2910979255456416
158,Mila Kunis,34.08127777777778,3.2182645472555897
4,Aidan Turner,33.15759999999999,3.1310424816777447
171,Noel Gugliemi,32.4628,3.065433139738954
117,Jon Favreau,32.3963125,3.05915478464086
73,Emma Stone,31.171166666666664,2.9434653604841916
111,Jim Parsons,31.15487500000001,2.941926952986947
184,Robert Downey Jr.,31.078,2.9346677155638825
126,Justin Timberlake,31.039271428571432,2.93101061123795
211,Tom Cruise,30.984993750000008,2.9258852186457847
93,J.K. Simmons,30.616354838709675,2.8910749762986465
36,Busy Philipps,28.926074999999997,2.7314633644532957
17,Anna Kendrick,28.49766666666667,2.6910091490947834
55,Costas Mandylor,28.096159999999998,2.653095234034279
129,Kelly Macdonald,27.739324999999997,2.6193996244621305
178,Paul Walker,26.936847058823535,2.543622350943154
202,Steve Buscemi,25.818145454545455,2.4379843600356184
