director_name,avg_gross_millions,avg_budget_million,profit_millions,num_movies,avg_movie_score,avg_director_fb_likes,avg_movie_fb_likes
James Cameron,709.59,218.5,491.08905,2,7.8,0.0,29500.0
Lee Unkrich,414.98,200.0,214.98450000000003,1,8.3,125.0,30000.0
Chris Buck,400.74,150.0,250.7366,1,7.6,69.0,58000.0
George Lucas,388.49,114.33,274.16096666666664,3,6.93,0.0,7666.67
Tim Miller,363.02,58.0,305.0243,1,8.1,84.0,117000.0
Kyle Balda,336.03,74.0,262.0296,1,6.4,22.0,70000.0
Colin Trevorrow,328.09,75.38,252.71754999999996,2,7.0,365.0,90500.0
Yarrow Cheney,323.51,75.0,248.50549999999998,1,6.8,11.0,36000.0
Pete Docter,313.11,155.0,158.1138,3,8.23,0.0,48333.33
Pierre Coffin,309.78,72.5,237.2756,2,7.6,275.0,43500.0
Peter Jackson,307.97,156.0,151.9668,6,8.28,0.0,60166.67
David Yates,296.98,200.0,96.97895,2,7.5,282.0,5000.0
Andrew Adamson,284.36,153.75,130.61169999999998,4,7.15,80.0,0.0
Francis Lawrence,271.7,120.6,151.10039999999998,5,7.0,508.0,43200.0
Dan Scanlon,268.49,200.0,68.48829999999998,1,7.3,37.0,44000.0
Joss Whedon,242.16,145.0,97.16375000000001,2,7.75,0.0,66000.0
Robert Stromberg,241.41,180.0,61.40729999999999,1,7.0,171.0,89000.0
Mark Andrews,237.28,185.0,52.28219999999999,1,7.2,56.0,39000.0
Chris Miller,234.97,145.0,89.97070000000001,2,6.4,50.0,8000.0
Christopher Nolan,226.65,125.62,101.02844999999999,8,8.43,22000.0,103625.0
Andrew Stanton,225.9,179.23,46.66816666666668,3,7.73,475.0,17000.0
Don Hall,222.49,165.0,57.48769999999999,1,7.9,38.0,41000.0
John Lasseter,211.03,132.5,78.52994999999999,4,7.15,487.0,2500.0
Michael Bay,209.38,131.6,77.78374000000001,10,6.57,0.0,25900.0
Shane Black,206.61,107.5,99.11405,2,7.4,1000.0,47500.0
Nathan Greno,200.81,260.0,-59.1927,1,7.8,15.0,29000.0
Gore Verbinski,189.94,153.0,36.943,7,6.99,563.0,13000.0
Rich Moore,189.41,165.0,24.4127,1,7.8,66.0,40000.0
